prompt,output_data_type,attribute_id,attribute_label,concept_id
"Fossil fuel use or combustion where the specific fuel type is not identified, used when studies refer to fossil fuels in general without distinguishing between coal, oil, or gas.",bool,35,(Unspecified) fossil fuels,DSNY000619
"A solid fossil fuel formed from ancient plant matter, the most carbon-intensive energy source and a major contributor to greenhouse gas emissions and air pollution.",bool,36,Coal,DSNY000620
"A fossil fuel composed primarily of methane, used for heating, electricity generation, and industrial processes, with lower CO₂ emissions than coal but significant methane leakage risks.",bool,37,Natural gas,DSNY000621
"A liquid fossil fuel refined into petroleum products including petrol, diesel, and jet fuel, a major source of greenhouse gas emissions from transport and industry.",bool,38,Oil,DSNY000622
"Chemical compounds that destroy stratospheric ozone and act as potent greenhouse gases, regulated under the Montreal Protocol due to their combined climate and health impacts.",bool,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,DSNY000617
"A short-lived climate pollutant and air quality hazard formed by photochemical reactions between nitrogen oxides and volatile organic compounds, harmful to respiratory health.",bool,24,Tropospheric ozone (O₃),DSNY000618
"A potent short-lived greenhouse gas emitted from livestock, rice cultivation, landfills, and fossil fuel extraction, with a global warming potential far exceeding that of CO₂ over 20 years.",bool,20,Methane (CH₄),DSNY000615
"Atmospheric gases that trap heat and contribute to the greenhouse effect, referred to collectively without specifying the individual gas type.",bool,17,(Unspecified) greenhouse gases,DSNY000611
"The primary long-lived greenhouse gas produced by fossil fuel combustion, deforestation, and industrial processes, responsible for the majority of anthropogenic radiative forcing.",bool,18,Carbon dioxide (CO₂),DSNY000612
"A group of potent synthetic greenhouse gases used in industrial applications, refrigeration, and electronics manufacturing, with very high global warming potentials and long atmospheric lifetimes.",bool,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,DSNY000614
"A greenhouse gas and ozone-depleting substance emitted primarily from agricultural soils, livestock, and nitrogen fertilisers, with a high global warming potential.. Not to be confused with nitrogen dioxide (NO2).",bool,21,Nitrous oxide (N₂O),DSNY000616
"Airborne particles of 10 or 2.5 micrometres or less in diameter. Fine particulate matter can include components such as black carbon and sulfate aerosols, that affect both climate and human health through respiratory and cardiovascular pathways.",bool,23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,DSNY000613
"Uncontrolled fires in natural vegetation, increasingly associated with drought and heat, producing smoke and air pollution with severe respiratory and cardiovascular health impacts.",bool,33,Wildfires,DSNY000610
"Prolonged periods of water deficit, often driven by abnormally low rainfall and/or increased evapotranspiration, resulting in reduced soil moisture and water availability, with consequences including crop and livestock losses, increased wildfire risk, and impacts on human health, nutrition, and livelihoods.. Needs to be differentiated from ""Water quality and quantity"" as a health exposure (here: ""Health - Exposure"" > ""Water quality and quantity"")",bool,25,Droughts,DSNY000605
"Episodes of abnormally low temperatures, including cold snaps and blizzards, associated with increased risk of hypothermia, cardiovascular events, and respiratory illness.",bool,26,Extreme cold,DSNY000606
"Unusually intense or prolonged episodes of rainfall, snowfall, or other precipitation that exceed typical conditions and can cause flooding, water-related hazards, disruption of essential services, and adverse impacts on human health, ecosystems, and livelihoods.",bool,28,Extreme precipitation,DSNY000633
"Extreme weather events where the specific type is not identified, used when studies refer to climate extremes without distinguishing between event types.",bool,34,Z_(Unspecified) extreme weather events,DSNY000604
"Periods of abnormally high temperatures, including heatwaves, that pose direct health risks such as heat exhaustion, heat stroke, and excess mortality.",bool,27,Extreme heat,DSNY000607
"Intense meteorological events including tropical cyclones, hurricanes, typhoons, and severe thunderstorms or hailstorms, causing damage, flooding, and displacement.. Do not use for sand storms or dust storms, which are a distinct concept in this scheme (""Sand and dust storms"").",bool,32,Storms and severe wind,DSNY000609
"Wind-driven events that mobilize and transport airborne sand and dust particles, reducing air quality and visibility and posing risks to human health, ecosystems, infrastructure, and livelihoods.",bool,31,Sand and dust storms,DSNY000635
"Severe or unusual snow and ice conditions, including heavy snowfall, blizzards, freezing rain, and ice storms, that disrupt normal activities and can result in infrastructure damage, transport disruption, injuries, and adverse impacts on human health, ecosystems, and livelihoods.. Driven by cold temperatures and frozen precipitation.",bool,29,Extreme snow/ice events,DSNY000634
"Temporary inundation of normally dry land caused by excessive rainfall, river overflow, storm surges, coastal flooding, rapid snowmelt, or other hydrological processes, including riverine, pluvial, coastal, and flash floods, with direct and indirect consequences for human health, displacement, infrastructure, livelihoods, and ecosystems.",bool,30,Floods,DSNY000608
"Positive health, social, or environmental benefits arising from mitigation actions that are additional to the primary goal of reducing greenhouse gas emissions, such as improved air quality or increased physical activity.",bool,496,Co-Benefits,DSNY000491
"The effects of climate change on natural and human systems, including consequences for health, ecosystems, economies, and societies resulting from climate variability and change.. Assign when the study characterises, measures, models, or reviews the effects, harms, hazards, or risks arising from a climate variable (e.g. changes in temperature, precipitation, humidity, sea level, or wind) or a climate-related extreme event (e.g. heatwave, flood, drought, storm, wildfire, extreme cold) on human health, ecosystems, economies, or societies. This includes cases where a climate variable or extreme event modifies exposure to another hazard (e.g. temperature or drought altering air-pollution, wildfire-smoke, or infectious-disease exposure). Do not assign for the health effects of a non-climate exposure on its own (e.g. air pollution or chemicals with no climatic driver in the causal pathway). The paper need not use the words 'climate change' — the presence of a climate variable or extreme climate-related event as the driver is what matters.",bool,488,Impact,DSNY000053
